year,month,state,EHE
2004,1,AZ,2338.2
2004,2,AZ,2342.0
2004,3,AZ,2349.9
2004,4,AZ,2357.5
2004,5,AZ,2367.5
2004,6,AZ,2377.0
2004,7,AZ,2388.4
2004,8,AZ,2395.8
2004,9,AZ,2398.9
2004,10,AZ,2425.5
2004,11,AZ,2431.4
2004,12,AZ,2443.9
2005,1,AZ,2444.3
2005,2,AZ,2457.6
2005,3,AZ,2466.1
2005,4,AZ,2489.0
2005,5,AZ,2498.8
2005,6,AZ,2508.3
2005,7,AZ,2524.1
2005,8,AZ,2534.2
2005,9,AZ,2547.6
2005,10,AZ,2548.5
2005,11,AZ,2560.5
2005,12,AZ,2571.9
2006,1,AZ,2594.2
2006,2,AZ,2608.3
2006,3,AZ,2621.3
2006,4,AZ,2627.7
2006,5,AZ,2635.8
2006,6,AZ,2646.0
2006,7,AZ,2645.2
2006,8,AZ,2651.8
2006,9,AZ,2658.7
2006,10,AZ,2660.6
2006,11,AZ,2659.4
2006,12,AZ,2664.2
2007,1,AZ,2664.0
2007,2,AZ,2672.0
2007,3,AZ,2680.2
2007,4,AZ,2672.9
2007,5,AZ,2674.5
2007,6,AZ,2683.9
2007,7,AZ,2684.2
2007,8,AZ,2684.4
2007,9,AZ,2685.5
2007,10,AZ,2687.3
2007,11,AZ,2684.5
2007,12,AZ,2680.5
2008,1,AZ,2676.4
2008,2,AZ,2671.9
2008,3,AZ,2659.8
2008,4,AZ,2652.1
2008,5,AZ,2645.4
2008,6,AZ,2636.6
2008,7,AZ,2620.4
2008,8,AZ,2617.0
